0.01	0.0061	0.00485	2501	2500	1.861	1.69	1790	8.75	1805	1.02
10	0.0123	0.00939	2519.4	2477	1.869	1.69	968	9.15	973.7	1
20	0.0234	0.01729	2537.7	2453	1.877	1.76	548	9.5	549.4	1
30	0.0424	0.03037	2555.9	2430	1.87	1.84	268	9.8	266.7	1
40	0.0738	0.05117	2574	2406	1.88	1.93	201	10.3	201.4	1
50	0.1233	0.08303	2591.8	2382	1.91	2.01	127	10.75	129.4	1.02
60	0.1992	0.1302	2609.5	2358	1.93	2.1	83.5	11.2	86	1.03
70	0.3116	0.1981	2626.8	2333.8	1.96	2.2	56.8	11.65	58.8	1.04
80	0.4736	0.2932	2643.8	2309	1.98	2.309	39.6	11.85	41.1	1.04
90	0.7011	0.4232	2660.3	2283	2.02	2.35	27.4	11.9	29.4	1.07
100	1.013	0.598	2676.3	2256.8	2.135	2.372	18.58	12.27	20.02	1.08
102.66	1.113	0.658648	2680.4	2250.2	2.14697	2.403122	17.3165	12.32054	18.7033	1.08266
110	1.43	0.826	2691.8	2230	2.18	2.489	13.83	12.46	15.07	1.09
120	1.98	1.121	2706.6	2202.8	2.21	2.593	10.5	12.85	11.46	1.09
130	2.7	1.496	2720.7	2174.3	2.26	2.686	7.972	13.24	8.85	1.11
140	3.61	1.966	2734	2145	2.32	2.791	6.13	13.54	6.86	1.12
150	4.76	2.547	2746.3	2114.4	2.395	2.884	4.728	13.93	5.47	1.16
155	5.470	2.903	2752.000	2098.500	2.437	2.948	4.225	14.125	4.930	1.170
160	6.18	3.258	2757.7	2082.6	2.479	3.012	3.722	14.32	4.39	1.18
170	7.92	4.122	2768	2049.5	2.583	3.128	2.939	14.72	3.57	1.21
180	10.03	5.157	2777.1	2015.2	2.709	3.268	2.339	15.11	2.93	1.25
190	12.55	6.394	2784.9	1978.8	2.856	3.419	1.872	15	2.44	1.3
200	15.55	7.862	2791.4	1940.7	3.023	3.547	1.492	15.99	2.03	1.36
210	19.08	9.588	2796.4	1900.5	3.199	3.722	1.214	16.38	1.71	1.41
220	23.2	11.62	2799.9	1857.8	3.408	3.896	0.983	16.87	1.45	1.47
230	27.98	13.99	2801.7	1813	3.634	4.094	0.806	17.36	1.24	1.54
240	33.48	16.76	2801.6	1765.6	3.881	4.291	0.658	17.75	1.06	1.61
250	39.78	19.98	2799.5	1715.8	4.158	4.512	0.544	18.24	0.913	1.68